dt,imp,exp,net
2025-07,566.6,270.0,296.6
2025-08,2362.3,778.0,1584.3
2025-09,2383.8,725.6,1658.2
2025-10,2193.4,819.6,1373.8
2025-11,1600.0,652.2,947.8
2025-12,1843.0,575.6,1267.3
2026-01,1771.3,635.4,1135.8
2026-02,1574.5,753.6,821.0
2026-03,1918.8,1028.3,890.5
2026-04,1783.5,1027.2,756.3
2026-05,1812.4,1009.5,802.9
2026-06,2050.2,983.2,1067.0
2026-07,1418.1,663.3,754.7
