file_month,therms,total_gas_service,baseline_rate,nonbaseline_rate
apr 2026,19.0,44.54,,
aug 2025,13.0,34.35,2.03321,2.38915
dec 2025,61.0,170.88,2.02136,2.37552
feb 2026,58.0,164.55,2.00357,2.37679
jan 2026,72.0,203.25,2.02136,2.37552
jul 2025,9.0,22.94,,
jun 2026,12.0,29.73,2.00489,2.37832
mar 2026,22.0,56.06,2.00489,2.37832
may 2026,15.0,36.22,2.00489,2.37832
nov 2025,34.0,93.57,2.02136,2.37552
oct 2025,14.0,35.61,2.02136,2.37552
sep 2025,12.0,30.64,2.03574,2.39206
